,X0,X1,Month,Date,Season
0,0.46669284160098,0.11868728262775396,1,2017-01-01,Winter
1,0.735688493999323,-0.10946448827760748,1,2017-01-02,Winter
2,0.8495013585247131,-0.18560564903289845,1,2017-01-03,Winter
3,0.9199347704087315,-0.10015245836335265,1,2017-01-04,Winter
4,0.8810223025751902,-0.155758500204853,1,2017-01-05,Winter
5,0.8855511958906678,-0.21407796079524746,1,2017-01-06,Winter
6,0.7989589204044429,-0.18548912504504433,1,2017-01-07,Winter
7,0.656084636714352,0.07211806338442418,1,2017-01-08,Winter
8,0.8266462169213803,-0.05333488812905154,1,2017-01-09,Winter
9,0.8720702974659964,0.011483472683032786,1,2017-01-10,Winter
10,0.8506553149161538,0.120395350166463,1,2017-01-11,Winter
11,0.8212318504650237,0.08148806037580068,1,2017-01-12,Winter
12,0.7468734259810554,0.1563359378338219,1,2017-01-13,Winter
13,0.6613632037649624,0.1208265828881703,1,2017-01-14,Winter
14,0.6944517173548932,0.1433358667960024,1,2017-01-15,Winter
15,0.9313221296227735,-0.16087617007400465,1,2017-01-16,Winter
16,0.9465566365640887,-0.132216527864828,1,2017-01-17,Winter
17,1.1189560616468355,-0.10531233556180995,1,2017-01-18,Winter
18,1.1332249149526405,-0.28681656866287486,1,2017-01-19,Winter
19,1.1150540534989228,-0.30207072767238885,1,2017-01-20,Winter
20,0.885505882056998,-0.1587797570433182,1,2017-01-21,Winter
21,0.7982322758386907,0.07308259426808571,1,2017-01-22,Winter
22,1.0114027004505732,-0.2504256814922474,1,2017-01-23,Winter
23,1.0303519207681842,-0.2744537702071034,1,2017-01-24,Winter
24,1.1757413662716993,-0.23622243162597817,1,2017-01-25,Winter
25,1.1063344980563403,-0.1609888921946741,1,2017-01-26,Winter
26,0.9484016306644948,0.1564267876421113,1,2017-01-27,Winter
27,0.578079398307947,0.23853002325275635,1,2017-01-28,Winter
28,0.4493478782689075,0.35604221125100377,1,2017-01-29,Winter
29,0.7935381905714206,0.12696774476612563,1,2017-01-30,Winter
30,0.5784580649382763,0.029499056908752107,1,2017-01-31,Winter
31,0.548148623770592,0.09738440466436621,2,2017-02-01,Winter
32,0.5071545534442031,0.42552398722433643,2,2017-02-02,Winter
33,0.48173287084144917,0.3130328591307779,2,2017-02-03,Winter
34,0.14092421520005013,0.6211216613829152,2,2017-02-04,Winter
35,0.13826891824226734,0.6906553793273021,2,2017-02-05,Winter
36,0.49842747101099977,0.07829286049131347,2,2017-02-06,Winter
37,0.5028766374964011,0.18412227619362811,2,2017-02-07,Winter
38,0.5382193129420604,0.11061283441433407,2,2017-02-08,Winter
39,0.5297830442352155,0.05440653642237896,2,2017-02-09,Winter
40,0.6725789547866304,-0.07432273319900765,2,2017-02-10,Winter
41,0.6338906356344886,0.03688825323681298,2,2017-02-11,Winter
42,0.450100326258399,0.3965815466826433,2,2017-02-12,Winter
43,0.5046631805176232,0.35703610749264897,2,2017-02-13,Winter
44,0.6178758316614323,0.022460034248310074,2,2017-02-14,Winter
45,0.4778281798651221,-0.0663623123288452,2,2017-02-15,Winter
46,0.5153597943849659,-0.20691156367119823,2,2017-02-16,Winter
47,0.5329059463261483,-0.27499401447797933,2,2017-02-17,Winter
48,0.39675114174509774,-0.15574931474921452,2,2017-02-18,Winter
49,0.3739897074104728,0.005551653329868062,2,2017-02-19,Winter
50,0.5193571867427248,0.018691406886186625,2,2017-02-20,Winter
51,0.4738370708621546,0.11262568062012078,2,2017-02-21,Winter
52,0.4499308398336412,0.2043951224867532,2,2017-02-22,Winter
53,0.41477903577285824,0.3520774372255823,2,2017-02-23,Winter
54,0.43559783548407877,0.00044022097072155,2,2017-02-24,Winter
55,0.26249216509021833,-0.011620698688153608,2,2017-02-25,Winter
56,0.11172722745366126,0.469739472633225,2,2017-02-26,Winter
57,0.2782774005615479,0.48621746534474425,2,2017-02-27,Winter
58,0.41411692955976265,0.4169520876428604,2,2017-02-28,Winter
59,0.4273547721133247,0.36690168879928764,3,2017-03-01,Spring
60,0.29160991960435845,0.21526565485719842,3,2017-03-02,Spring
61,0.33077061416817305,0.25366230424434305,3,2017-03-03,Spring
62,0.06594721899753848,0.46602389489425516,3,2017-03-04,Spring
63,-0.10677354626324799,0.8930386872973926,3,2017-03-05,Spring
64,0.36090258380983314,0.21666087117929794,3,2017-03-06,Spring
65,0.3948955081312633,0.009207820177186507,3,2017-03-07,Spring
66,0.39151592915408984,0.25236465976082556,3,2017-03-08,Spring
67,0.24146368489252068,0.13845419359585656,3,2017-03-09,Spring
68,0.13304202360936537,-0.1345982853391672,3,2017-03-10,Spring
69,-0.18311879420125554,0.07815301012763905,3,2017-03-11,Spring
70,-0.1776934762623734,0.4441545626355245,3,2017-03-12,Spring
71,0.044197726516977585,0.04518573174007981,3,2017-03-13,Spring
72,-0.0405283981698132,-0.01087822302680476,3,2017-03-14,Spring
73,0.027484338258984314,-0.0786772329831621,3,2017-03-15,Spring
74,-0.025089533529693064,-0.14885942669367835,3,2017-03-16,Spring
75,-0.011189476737178442,0.05644153155065919,3,2017-03-17,Spring
76,-0.28172839429295204,0.7559069111330373,3,2017-03-18,Spring
77,-0.3653783793706908,0.6779506767920216,3,2017-03-19,Spring
78,-0.008924936127978641,0.28778828953583363,3,2017-03-20,Spring
79,0.1304585070586836,0.06575947660322773,3,2017-03-21,Spring
80,0.219989850523172,-0.036313528052768135,3,2017-03-22,Spring
81,0.2676152014333061,-0.026884805095906825,3,2017-03-23,Spring
82,0.22291416945130804,0.13417938791161824,3,2017-03-24,Spring
