,X0,X1,X2,Month,Date,Season
0,0.46669284160098,0.11868728262775396,0.06058488958340938,1,2017-01-01,Winter
1,0.735688493999323,-0.10946448827760748,0.046547119954715555,1,2017-01-02,Winter
2,0.8495013585247131,-0.18560564903289845,-0.13879007576088576,1,2017-01-03,Winter
3,0.9199347704087315,-0.10015245836335265,-0.1566670786851095,1,2017-01-04,Winter
4,0.8810223025751902,-0.155758500204853,-0.061431640986455816,1,2017-01-05,Winter
5,0.8855511958906678,-0.21407796079524746,-0.047384901271209826,1,2017-01-06,Winter
6,0.7989589204044429,-0.18548912504504433,0.029399285496000585,1,2017-01-07,Winter
7,0.656084636714352,0.07211806338442418,0.33709872861936485,1,2017-01-08,Winter
8,0.8266462169213803,-0.05333488812905154,0.02733250208971517,1,2017-01-09,Winter
9,0.8720702974659964,0.011483472683032786,-0.1269455318176012,1,2017-01-10,Winter
10,0.8506553149161538,0.120395350166463,0.03641877287577728,1,2017-01-11,Winter
11,0.8212318504650237,0.08148806037580068,-0.007547477103903801,1,2017-01-12,Winter
12,0.7468734259810554,0.1563359378338219,-0.0026969345843116015,1,2017-01-13,Winter
13,0.6613632037649624,0.1208265828881703,0.20374999872505706,1,2017-01-14,Winter
14,0.6944517173548932,0.1433358667960024,0.3698185910389512,1,2017-01-15,Winter
15,0.9313221296227735,-0.16087617007400465,0.03419096866333432,1,2017-01-16,Winter
16,0.9465566365640887,-0.132216527864828,-0.1604717594246354,1,2017-01-17,Winter
17,1.1189560616468355,-0.10531233556180995,-0.3224833235517549,1,2017-01-18,Winter
18,1.1332249149526405,-0.28681656866287486,-0.452787386254117,1,2017-01-19,Winter
19,1.1150540534989228,-0.30207072767238885,-0.4176714437135274,1,2017-01-20,Winter
20,0.885505882056998,-0.1587797570433182,-0.011092245286470561,1,2017-01-21,Winter
21,0.7982322758386907,0.07308259426808571,0.1769065588961016,1,2017-01-22,Winter
22,1.0114027004505732,-0.2504256814922474,-0.24626556461306487,1,2017-01-23,Winter
23,1.0303519207681842,-0.2744537702071034,-0.40054481819302123,1,2017-01-24,Winter
24,1.1757413662716993,-0.23622243162597817,-0.3591407066173773,1,2017-01-25,Winter
25,1.1063344980563403,-0.1609888921946741,-0.23936201691042927,1,2017-01-26,Winter
26,0.9484016306644948,0.1564267876421113,-0.02222492239227674,1,2017-01-27,Winter
27,0.578079398307947,0.23853002325275635,0.20288385404824177,1,2017-01-28,Winter
28,0.4493478782689075,0.35604221125100377,0.3639507881531336,1,2017-01-29,Winter
29,0.7935381905714206,0.12696774476612563,0.10498331899772373,1,2017-01-30,Winter
30,0.5784580649382763,0.029499056908752107,0.07601141893523435,1,2017-01-31,Winter
31,0.548148623770592,0.09738440466436621,-0.2034374514291906,2,2017-02-01,Winter
32,0.5071545534442031,0.42552398722433643,-0.0766775884289538,2,2017-02-02,Winter
33,0.48173287084144917,0.3130328591307779,-0.17077048620722463,2,2017-02-03,Winter
34,0.14092421520005013,0.6211216613829152,-0.04375139995009599,2,2017-02-04,Winter
35,0.13826891824226734,0.6906553793273021,0.004297489843257926,2,2017-02-05,Winter
36,0.49842747101099977,0.07829286049131347,-0.2892344018433578,2,2017-02-06,Winter
37,0.5028766374964011,0.18412227619362811,-0.26351035565903796,2,2017-02-07,Winter
38,0.5382193129420604,0.11061283441433407,-0.3513228435419623,2,2017-02-08,Winter
39,0.5297830442352155,0.05440653642237896,-0.3976328213676198,2,2017-02-09,Winter
40,0.6725789547866304,-0.07432273319900765,-0.36597483334426456,2,2017-02-10,Winter
41,0.6338906356344886,0.03688825323681298,-0.12370905071884127,2,2017-02-11,Winter
42,0.450100326258399,0.3965815466826433,0.15239321332621347,2,2017-02-12,Winter
43,0.5046631805176232,0.35703610749264897,-0.16661640163080096,2,2017-02-13,Winter
